ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,entry_sal,positions
1,Austin,TX,51840,291533,1155,79.7,54.8,34.2,2.9,404317,63924,86
2,Denver,CO,57400,393842,1203,64.6,36.2,36.3,3,488386,77402,181
3,Colorado Springs,CO,50050,286700,1070,62.1,35.7,34.4,3.7,321088,58686,7
4,Fayetteville,AR,45830,177942,778,68,45,33.9,2.7,221546,54929,19
5,Des Moines,IA,50600,178942,857,60.3,41.4,35.7,2.4,147694,72170,22
7,San Francisco,CA,69700,768517,1673,65.8,50.6,38.8,2.7,1451049,92498,207
8,Portland,OR,55330,375425,1118,63.1,45.6,37.8,3.8,464283,67880,41
9,Seattle,WA,63120,442333,1297,60.2,45,37.1,3.9,802912,81519,130
11,Huntsville,AL,53600,167300,779,,,38.4,3.5,178465,58017,11
12,Madison,WI,52190,247967,958,55.9,36.8,35.9,2.2,293514,100662,14
13,Grand Rapids,MI,44770,181533,826,57.9,40.2,35.7,3.1,177723,57225,11
14,San Jose,CA,77180,1080017,1940,72.4,50.6,36.9,2.6,1089860,87059,179
15,Nashville,TN,47110,248883,951,69.7,48.9,36.3,2.8,287500,67187,51
17,Boise,ID,43880,221475,879,63.5,41.2,35.8,2.6,331482,56828,16
18,Sarasota,FL,42680,237260,1089,81.7,64.1,51.6,3.3,289167,55593,8
20,Charlotte,NC,50150,213983,935,70.9,48.7,37.3,3.6,254255,101284,73
22,Greenville,SC,43230,172067,787,70.3,50.5,38.5,3.3,203775,57444,10
23,Portland,ME,48970,223367,975,55.7,37.1,43.4,2.6,333446,50995,8
24,Salt Lake City,UT,47272,324198,963,63.8,41.6,30.2,3,436115,75686,57
25,Melbourne,FL,48240,198425,971,81.9,62.8,47.1,3.5,245384,56120,2
26,Phoenix,AZ,49500,234183,1032,86.6,63.4,36.2,4.1,271291,76096,103
27,Boston,MA,65420,423450,1335,58.7,44,38.7,3.1,620097,77840,236
