RegionName,State,Metro,2020-01
New York,NY,New York-Newark-Jersey City,666005
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,756217
Houston,TX,Houston-The Woodlands-Sugar Land,192681
Chicago,IL,Chicago-Naperville-Elgin,221752
San Antonio,TX,San Antonio-New Braunfels,186009
Philadelphia,PA,Philadelphia-Camden-Wilmington,178942
Phoenix,AZ,Phoenix-Mesa-Scottsdale,271291
Las Vegas,NV,Las Vegas-Henderson-Paradise,299816
San Diego,CA,San Diego-Carlsbad,717383
Dallas,TX,Dallas-Fort Worth-Arlington,231051
Austin,TX,Austin-Round Rock,404317
San Jose,CA,San Jose-Sunnyvale-Santa Clara,1089860
Jacksonville,FL,Jacksonville,196115
Indianapolis,IN,Indianapolis-Carmel-Anderson,151493
San Francisco,CA,San Francisco-Oakland-Hayward,1451049
Charlotte,NC,Charlotte-Concord-Gastonia,254255
Fort Worth,TX,Dallas-Fort Worth-Arlington,210139
Tucson,AZ,Tucson,218379
Columbus,OH,Columbus,180920
Louisville,KY,Louisville/Jefferson County,179855
Orlando,FL,Orlando-Kissimmee-Sanford,267171
El Paso,TX,El Paso,136997
Detroit,MI,Detroit-Warren-Dearborn,34909
Denver,CO,Denver-Aurora-Lakewood,488386
Seattle,WA,Seattle-Tacoma-Bellevue,802912
Memphis,TN,Memphis,93598
Boston,MA,Boston-Cambridge-Newton,620097
Washington,DC,Washington-Arlington-Alexandria,743767
Portland,OR,Portland-Vancouver-Hillsboro,464283
Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,287500
Sacramento,CA,Sacramento--Roseville--Arden-Arcade,354148
Baltimore,MD,Baltimore-Columbia-Towson,148820
Milwaukee,WI,Milwaukee-Waukesha-West Allis,131152
Fresno,CA,Fresno,257940
Omaha,NE,Omaha-Council Bluffs,193769
Albuquerque,NM,Albuquerque,213805
Oklahoma City,OK,Oklahoma City,141460
Raleigh,NC,Raleigh,286111
Mesa,AZ,Phoenix-Mesa-Scottsdale,280144
Miami,FL,Miami-Fort Lauderdale-West Palm Beach,392862
Atlanta,GA,Atlanta-Sandy Springs-Roswell,300255
Kansas City,MO,Kansas City,157990
Colorado Springs,CO,Colorado Springs,321088
Long Beach,CA,Los Angeles-Long Beach-Anaheim,651456
Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,287932
Oakland,CA,San Francisco-Oakland-Hayward,814079
Tulsa,OK,Tulsa,131658
Minneapolis,MN,Minneapolis-St. Paul-Bloomington,290840
Honolulu,HI,Urban Honolulu,977282
Cleveland,OH,Cleveland-Elyria,65532
New Orleans,LA,New Orleans-Metairie,225899
Arlington,TX,Dallas-Fort Worth-Arlington,220471
Knoxville,TN,Knoxville,200199
Baton Rouge,LA,Baton Rouge,189254
San Juan,UT,,141140
Wichita,KS,Wichita,136662
Tampa,FL,Tampa-St. Petersburg-Clearwater,251269
Aurora,CO,Denver-Aurora-Lakewood,371412
Riverside,CA,Riverside-San Bernardino-Ontario,427042
Bakersfield,CA,Bakersfield,254820
Cincinnati,OH,Cincinnati,161214
Pittsburgh,PA,Pittsburgh,158964
Anaheim,CA,Los Angeles-Long Beach-Anaheim,647948
Santa Ana,CA,Los Angeles-Long Beach-Anaheim,601256
Columbia,SC,Columbia,148470
Town of Islip,NY,New York-Newark-Jersey City,408424
Marietta,GA,Atlanta-Sandy Springs-Roswell,314607
Vancouver,WA,Portland-Vancouver-Hillsboro,363475
Corpus Christi,TX,Corpus Christi,158264
Saint Louis,MO,St. Louis,120375
Greensboro,NC,Greensboro-High Point,165533
Lexington,KY,Lexington-Fayette,198982
Fort Wayne,IN,Fort Wayne,144412
Silver Spring,MD,Washington-Arlington-Alexandria,456701
Toledo,OH,Toledo,73883
Anchorage,AK,Anchorage,374498
