"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01"
102001,"United States",0,99337,99495,99674,99848,100063,100278,100528,100774,101038,101208,101420,101645,101948,102254,102539,102848,103122,103415,103678,104001,104354,104893,105393,105873,106184,106523,106874,107250,107669,108135,108636,109062,109440,109771,110199,110677,111239,111771,112367,112972,113523,114020,114512,115102,115719,116350,116976,117602,118246,118885,119507,120126,120783,121472,122166,122881,123624,124356,125024,125687,126359,127045,127706,128353,129011,129670,130340,130980,131612,132244,132910,133591,134269,134950,135664,136414,137177,137935,138714,139525,140358,141178,141980,142763,143556,144363,145161,145960,146816,147754,148742,149716,150688,151712,152837,154036,155231,156486,157788,159173,160523,161863,163182,164532,165941,167392,168840,170271,171769,173274,174841,176420,178027,179633,181158,182623,183947,185143,186222,187278,188272,189216,190018,190667,191166,191491,191744,191917,192043,192148,192209,192216,192146,191926,191579,191106,190650,190100,189447,188648,187790,186776,185557,184147,182638,181129,179621,178091,176453,174864,173289,171647,169963,168326,166964,165666,164402,163178,162120,161303,160628,160061,159632,159468,159393,159345,159182,159085,159067,159017,158767,158180,157445,156597,155746,154831,153970,153114,152283,151387,150439,149489,148681,148111,147701,147401,147071,146759,146451,146240,146108,146154,146338,146650,146979,147354,147783,148278,148856,149524,150263,151089,151972,152952,153974,155051,156182,157340,158505,159625,160697,161671,162575,163413,164210,164846,165375,165858,166390,166914,167365,167815,168338,168978,169654,170316,170999,171787,172606,173443,174194,174934,175729,176552,177364,178099,178902,179776,180678,181492,182332,183188,184119,185080,186052,187027,188008,189048,190066,191056,192041,193097,194225,195331,196448,197506,198589,199710,200884,202096,203293,204434,205592,206775,207983,209156,210253,211323,212338,213290,214176,215036,215890,216714,217463,218148,218809,219492,220204,220952,221715,222492,223278,224038,224800,225606
394913,"New York, NY",1,169882,169621,169381,169269,169209,169258,169383,169521,169662,169871,170361,170973,171584,172039,172579,173100,173634,174099,174526,175111,175836,176670,177273,177679,178019,178409,178892,179325,180014,180845,181915,182867,183843,184659,185657,186758,188165,189726,191330,193150,194667,196207,197559,199169,200769,202545,204493,206659,208801,210873,212977,215135,217373,219525,221668,223816,226072,228259,230569,232760,235108,237423,239793,242039,244263,246625,249322,252040,254696,257405,260029,262665,265294,267991,270870,273870,277438,281173,284899,288490,292265,295997,299765,303570,307187,310745,314099,317474,320691,323636,326506,329370,332354,335606,338899,342372,345758,349425,353289,357577,361714,366124,370397,374917,378976,383114,386982,390891,395147,399496,403796,407843,412009,416239,420462,424411,428425,431887,435135,437423,439414,441032,442687,443668,443830,443352,442364,441107,439552,437800,436363,435788,435201,434634,433239,431764,430304,428725,427592,426295,424918,423624,421993,419798,417202,413817,410660,407635,404936,402138,398940,395773,392683,389356,385973,382787,379766,377286,374848,372625,370548,369082,368112,367559,367245,366976,366801,366314,366121,365823,365831,365647,365195,364293,362849,361041,359047,357425,356002,354695,352964,351095,348887,346777,344849,343035,341480,339874,338396,336940,335370,334131,333071,332493,332088,331721,331408,331318,331259,331496,331901,332370,333184,333819,334781,335654,336880,338429,339952,341410,343049,344835,346389,347804,348723,349985,350967,352064,352760,353137,353590,354011,354480,354546,354991,355587,356644,357295,357965,358440,359139,359828,360427,361110,361666,362681,363346,363810,364215,364761,365651,366330,367206,368271,369540,370763,372099,373279,374631,376080,377413,378926,380177,382288,384333,386703,388863,390918,392636,394284,395983,398019,400188,402238,404295,405778,407253,408178,409219,410417,412067,413784,414957,415573,415871,416395,416996,417596,418141,418866,419522,420060,420338,420560,421086,421798
753899,"Los Angeles-Long Beach-Anaheim, CA",2,176151,176134,176172,176286,176264,176176,176085,176061,176166,175805,175241,174889,175072,175547,175967,176512,177307,178202,179087,179896,180818,182390,184355,186183,187473,188648,189755,190586,191723,193198,194850,196476,197775,199395,200808,202322,203658,205015,206909,208971,210411,211489,212729,214522,216363,217913,219446,221251,223321,225517,227536,229524,231714,233915,236005,237990,240117,242137,244286,246307,248654,250757,252871,254712,256734,258871,261392,263744,266298,268907,271881,275015,278353,281722,285622,290141,294915,299576,304268,309432,314604,319349,323603,327949,332185,336812,340783,345810,351424,357875,363684,370366,377138,385155,393274,401845,411173,421698,432617,441941,449798,457649,465676,472441,479124,485375,493019,500608,508027,514111,520303,528268,536857,546065,554751,562007,568823,574531,579544,583978,587822,592388,595591,596990,598241,596766,596152,594817,594655,593860,592597,590776,589412,586645,584105,579376,573349,565432,557168,550683,543582,536334,526040,514732,500885,487010,474693,463877,454243,446833,439378,430650,419597,411315,406880,403653,400572,397900,395564,394640,394874,395846,397137,399674,403559,404866,403679,403670,405762,409422,408996,407104,403897,401485,398815,395028,392421,391118,390783,388797,385970,381076,379729,378715,377828,375186,372653,372303,371438,370306,368780,368054,368032,369505,371005,373473,376137,379826,384654,388532,393669,398633,406433,414858,424313,432568,440613,447625,455724,462836,468337,473211,476631,480711,481604,482092,481586,482046,482462,483886,483793,484388,485158,487820,490238,493398,497149,501103,503296,505660,508084,510776,513777,516907,520549,523157,527559,530021,533220,535031,539044,542511,545629,548276,551764,555544,559239,561937,563683,567133,569837,573478,575816,579476,583145,586490,589276,592020,594905,599692,604520,608648,612913,617271,621426,623402,625219,626896,627969,627938,628535,629277,629156,628380,626557,625275,624681,625249,626086,627415,629413,632361,634970,637032,640194,644270
394463,"Chicago, IL",3,135366,134820,134552,134105,134617,135261,136594,137606,138401,138638,138578,138708,138518,138685,138407,138213,136073,133595,129954,127218,125153,124349,124209,124146,124125,124016,123912,124074,125256,126980,129320,131256,132738,133402,133790,134158,134656,135056,135812,136629,137421,137857,138339,138974,139707,140706,141702,142701,143590,144496,145369,146223,147144,148165,149167,150233,151330,152354,153225,154137,155141,156255,157270,158113,158968,159852,160901,161885,162777,163578,164450,165483,166318,167252,168095,169266,170367,171488,172467,173333,174361,175388,176556,177561,178711,179598,180490,181282,182274,183395,184557,185740,186805,188019,189129,190246,191413,192725,194244,195688,197113,198314,199616,201023,202558,203965,205432,206907,208515,210126,211827,213483,215068,216836,218517,220078,221456,222682,223883,224935,225968,226883,227584,228160,228681,229084,229388,229606,229958,230446,230964,230834,230556,229739,229389,228647,228302,227437,226844,226117,225279,224551,222787,222064,220092,219366,217212,216050,213780,212409,210228,208320,205712,202792,200566,198224,196655,194469,192729,191242,190007,188519,187318,186391,186133,185760,185455,184475,184219,183366,183235,181580,180596,179075,178094,176206,174630,172961,171820,170536,168871,167526,165948,165452,164461,163968,162478,161777,160644,160038,158647,158408,157995,158033,157446,156612,155988,155418,155725,156222,156711,157520,158450,159117,160046,160811,162329,163872,165797,167352,169097,170052,171284,171910,172977,173485,173744,174235,175106,175924,176308,176963,177334,177967,178338,178705,178822,179382,180428,181356,181619,181873,182202,182597,182859,183227,183833,184580,185729,186654,187383,187972,188799,189938,190978,191816,192665,193698,194736,195863,196832,198137,199259,200237,200840,201295,201965,202838,203952,204972,206170,207375,208309,208800,209336,210033,211022,211731,212441,213179,213858,214535,214955,215169,215481,215909,216441,216896,217218,217701,218031,218223,218288,218309,218376,218519
394514,"Dallas-Fort Worth, TX",4,92530,92833,93052,93219,93389,93573,93840,94133,94411,94465,94530,94561,94699,94781,94945,95138,95393,95658,95977,96212,96527,96911,97288,97574,97670,97860,98085,98400,98693,98999,98935,98912,98828,99328,100004,100851,101660,102351,103061,103718,104153,104458,105045,105774,106452,106700,106966,107175,107395,107543,107668,107792,108013,108372,108746,109092,109407,109603,109456,109302,109202,109336,109386,109492,109734,109942,110099,110153,110324,110549,110942,111293,111755,112198,112821,113442,113965,114394,114781,115232,115723,115969,116010,115824,115765,115868,116107,116343,116553,116840,117214,117584,117845,118447,119587,121285,122651,123423,123718,123997,124403,124790,125211,125578,126009,126656,126868,126867,126704,126840,127147,127427,127746,128018,127933,128015,127966,128180,128568,128933,129278,129610,129969,130196,130221,130283,130825,131168,131551,131541,131498,131495,131642,131869,132049,132231,132595,133111,133428,133547,133567,132965,132064,130900,130103,129396,128902,128611,128224,127518,126643,125860,125256,125154,125432,125835,125956,125969,125817,125752,125643,125748,125927,126424,126706,126721,126543,126339,126445,126358,126331,125722,125076,124248,123603,122826,122395,122144,121618,121085,120244,119715,119015,118727,118643,118779,118780,118627,118282,118071,118408,118807,119234,119491,119914,120460,120885,121229,121535,122007,122554,123244,123749,124441,125212,126104,126986,127913,128849,129951,131044,132126,133076,133784,134565,135220,135905,136594,137406,137954,138765,139465,140508,141528,142680,143978,145198,146552,147889,149271,150664,152192,153560,154854,156032,157325,158726,160022,161292,162592,164111,165794,167393,169162,170717,172351,173858,175502,177201,178735,180446,181916,183570,185038,186548,187864,189146,190642,192381,194077,195535,196954,198631,200488,202224,203755,205354,206790,208130,208993,210016,211040,212398,213575,214477,215192,215792,216535,217127,217800,218516,219357,219857,220216,220301,220472
394974,"Philadelphia, PA",5,102849,102703,102614,102574,102530,102546,102602,102710,102797,102882,102989,103151,103368,103567,103755,103925,104055,104120,104147,104207,104317,104466,104630,104790,104886,104908,104896,104879,105054,105297,105612,105765,105917,106051,106255,106457,106698,106945,107232,107566,107821,108057,108251,108643,109128,109672,110204,110678,111180,111714,112249,112727,113150,113611,114131,114626,115126,115626,116184,116804,117424,118000,118550,119155,119792,120445,121081,121844,122545,123333,124088,124990,125920,126845,127791,128712,129808,130988,132328,133552,134896,136161,137547,138839,140180,141518,142875,144281,145622,147073,148533,150131,151557,153002,154544,156218,157955,159780,161752,163929,166217,168370,170245,172063,174152,176594,178762,180845,182794,185017,187313,189632,192045,194487,197037,199417,201614,203362,204977,206350,207842,209063,210268,211226,212009,212574,212937,213230,213464,213833,214097,214476,214611,215122,215458,215853,215771,215617,215524,215432,215256,214722,214437,213937,213462,212374,211118,209717,208536,207463,206307,205103,203853,202625,201556,200731,200067,199311,198589,197937,197572,197378,197500,197744,197887,198061,197862,197546,197229,197240,197344,197083,196282,195042,193549,192011,190696,189589,188707,187696,186333,184728,183132,181922,181083,180369,179704,178977,178313,177473,176605,175996,175666,175350,174813,174225,173725,173434,173196,173068,172923,172930,172988,173136,173465,174009,174725,175357,175860,176336,176794,177249,177589,177944,178268,178341,178003,177820,177773,178002,178009,178019,178079,178237,178539,178752,178972,179411,180121,180584,180783,180882,181261,181645,181845,182000,181956,182159,182481,182826,183214,183658,184507,185280,186048,186711,187553,188391,189484,190391,191126,191579,192157,192918,193726,194394,195106,195897,196971,197907,198781,199608,200786,202236,203631,204743,205576,206430,207242,208137,208840,209749,210542,211430,212081,212678,213199,213834,214570,215366,216145,216818,217439,217948,218510,219035
394692,"Houston, TX",6,90139,90261,90355,90409,90497,90665,90845,91084,91340,91292,91117,90948,91029,91130,91297,91472,91633,91733,91862,92048,92215,92764,93287,93844,93961,94126,94250,94453,94621,94798,94990,94966,94944,95031,95557,96304,97063,97730,98365,99008,99650,100155,100539,100965,101458,101911,102132,102154,102271,102314,102458,102531,102784,103056,103333,103755,104185,104355,104334,104011,103859,103873,103994,104148,104045,104157,104344,104572,104701,104879,105161,105700,106287,106831,107346,107785,108385,108859,109292,109619,109929,110295,110466,110537,110611,110736,111047,111247,111591,111796,112112,112376,112721,113183,114114,115451,116519,117548,117944,118792,119366,120226,120913,121577,122305,122928,123469,123648,123810,123691,123905,123873,123861,123675,123497,123613,123568,123760,123806,124065,124252,124686,125031,125464,125909,126454,127063,127461,127939,128305,128495,128498,128666,129040,129565,129802,130228,130565,130900,131133,131356,131163,130728,130192,129816,129197,128483,127953,127408,126853,126353,125659,124869,124310,124320,124347,124213,124106,124290,124678,124935,124992,124754,124820,124975,125051,124941,125081,125313,125372,124923,123921,122732,121870,121372,121195,120878,120409,119682,118613,117676,116900,116481,116273,116235,116148,116083,115456,115053,114859,115035,115297,115320,115472,115599,115986,116367,116682,116783,117259,117756,118465,119172,120347,121772,123118,124178,125202,126268,127448,128754,130053,131264,132373,133482,134230,134943,135640,136830,138084,139567,140985,142252,143368,144523,145633,146654,147875,149080,150215,151046,151631,152183,152755,153608,154214,154778,155605,156422,156971,157176,157713,158379,159248,159798,160311,160669,161509,162431,162922,163448,164096,164986,165553,166058,166458,166786,167170,167603,168147,168673,169303,169895,170652,171775,172912,173772,174452,175316,176322,177118,177685,178182,179129,180075,180800,181049,181361,181874,182499,183035,183382,183828,184235,184626,184638
395209,"Washington, DC",7,153907,153749,153582,153401,153336,153359,153470,153470,153470,153257,153149,153022,153115,153125,153195,153330,153384,153309,153157,153191,153257,153645,153958,154320,154382,154495,154569,154677,154813,155073,155368,155630,155957,156297,156851,157400,158043,158636,159352,160032,160604,161225,161901,162847,163762,164772,165723,166644,167545,168497,169509,170722,172176,173674,175222,176657,178324,180015,181625,183354,185214,187263,189219,191081,192945,194884,196901,199064,201196,203379,205539,207743,210009,212341,214862,217454,220225,222943,225695,228379,231138,233789,236692,239596,242486,244991,247479,250025,252633,255330,258529,262119,265689,269152,273032,277226,281757,286712,292244,298481,304954,311610,317646,323213,328970,335235,341007,346777,352983,360209,367272,373701,379504,385598,391421,396528,400689,404331,407812,410891,412549,413058,412744,412114,410945,408223,405275,402915,401451,399938,398387,396816,395765,394205,391580,388452,385298,383028,380295,377016,372467,367979,363133,357656,351491,344550,338866,333350,328563,323480,318930,314578,310510,305970,301912,298316,295368,293541,292236,291783,291234,290621,290318,290746,291965,293444,294128,295145,296278,297741,297886,297423,296674,296642,296431,295309,294083,293206,293369,292816,292352,291382,291332,291029,291043,290618,289993,289898,289878,290141,290604,291948,293246,294503,295822,297428,298945,300215,302285,304733,307378,309760,311469,313084,314846,317322,319584,321935,324454,327454,329827,331767,332982,334434,335801,337016,337870,337991,338033,338265,338391,338463,338420,338463,338715,338497,339170,339837,340244,340416,340729,341209,341590,341912,342601,343208,343793,344298,343952,344004,344837,346678,348129,349125,349894,350980,351820,352860,354463,356387,358664,359683,360606,360655,361445,362429,363998,365228,366574,367938,368620,369625,370121,371731,372953,375065,376882,378560,379467,380228,380783,381055,381970,383085,385094,386679,387978,388848,389665,390574,391816,393258,394828,396547,397962,398963
394856,"Miami-Fort Lauderdale, FL",8,119237,119507,119878,120243,120555,120693,120842,121041,121284,121200,121206,121233,121602,121910,122152,122382,122631,122909,123076,123238,123436,124264,124940,125520,125519,125665,125492,125398,125447,126113,126933,127575,128004,128066,128193,128330,128730,129182,130133,130985,131729,131807,131925,132226,132665,133257,133954,134848,135775,136521,137163,137784,138412,139235,140059,141059,142115,143211,144319,145526,146765,148207,149639,151297,153030,154951,156952,158799,160462,161994,163534,164981,166555,168107,169833,171614,173564,175355,177137,178921,181246,183608,186134,188600,191149,193515,195639,197591,199620,201959,204478,207259,209692,212538,215235,218143,220821,223993,227460,231225,235202,239324,243720,248108,253024,257666,262778,267933,273211,278772,284712,291559,298243,304844,310730,316128,321002,326192,330665,335640,341003,345969,349840,352011,353601,354528,354714,355323,355103,354816,353767,352041,348999,345478,341369,337219,332972,328703,325042,320103,315154,308604,302324,295329,288989,282553,276497,270008,262997,255775,248334,241539,235331,229494,224028,218518,213545,208824,205257,202257,199967,197831,196477,195249,193916,193246,192797,192865,192334,191709,190345,189098,187582,186242,184265,182577,181157,179610,178252,176848,175985,174983,174071,173157,172507,172021,171985,172077,172182,172384,172269,172504,172718,173537,174751,175986,177547,179166,180858,182162,183535,185374,187964,190830,194140,197135,199802,202571,205434,208502,211383,215046,218549,221856,224021,226107,227378,229158,230827,232947,234569,236025,237765,238762,240085,241076,242967,244512,246327,247837,249461,250699,252207,254101,255809,257888,259697,261838,263632,265329,267141,268890,271147,273399,275390,276892,278336,280025,281808,283486,285068,286362,287986,289572,291090,292465,294415,296354,298442,299410,300717,301581,303492,305556,307418,309346,310735,312407,313623,314821,315529,317151,318689,320208,320202,320239,320605,320913,321520,321972,322499,323087,323939,324522,324939,325564
394347,"Atlanta, GA",9,99864,100268,100712,101110,101496,101853,102240,102636,103058,103331,103647,103992,104458,104884,105232,105620,106080,106600,107101,107528,107980,108685,109370,109980,110324,110766,111260,111814,112320,112826,113336,113979,114545,115089,115614,116271,116991,117681,118400,119150,119858,120585,121286,122013,122743,123442,124211,125014,125930,126838,127755,128640,129570,130478,131447,132330,133275,134122,134920,135621,136283,136997,137664,138340,139007,139659,140268,140862,141434,142011,142597,143135,143667,144112,144565,144953,145293,145629,145976,146323,146593,146896,147172,147500,147738,147971,148198,148448,148733,149001,149234,149482,149781,150014,150236,150475,150827,151155,151417,151691,152030,152396,152798,153156,153509,153907,154346,154771,155160,155608,156100,156529,156920,157375,157877,158423,158867,159368,159806,160196,160484,160710,161022,161374,161716,161962,162127,162350,162687,163091,163456,163841,164094,164273,164239,164135,163828,163321,162711,162078,161576,160747,159718,158316,157127,155902,154625,153131,151565,150104,148517,146473,143852,141277,138876,136777,134449,132298,130318,128931,127791,126793,125715,124888,124429,123899,123275,122559,122263,122102,121785,120599,118836,116593,114657,112834,111394,109903,108666,107011,105129,102771,100605,99004,98286,98298,98251,97950,97039,96513,95953,96252,96742,97605,98492,99405,99900,99973,100244,101111,102395,103764,105316,106867,108305,109868,111527,113219,115144,117224,119303,121010,122758,124210,125530,126449,127433,128283,129081,129999,130756,131578,132246,133005,133681,134426,135126,135770,136456,137339,138363,139218,140100,140919,141685,142384,143035,143929,144820,145983,147145,148173,148927,149553,150265,150906,151836,152853,154096,155011,156075,157096,158208,159316,160593,162016,163250,164665,165996,167535,169098,170772,172381,173615,174896,176261,177957,179663,181333,182884,184442,185841,187022,188021,189022,190239,191470,192650,193518,194331,195248,196171,197052,197908,198847,199909
