ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,entry_sal,positions,lat,lng,mtg30,mtg_by_sal,rent12,rent_by_sal,rent_mtg_avg,rma_weight,our_rank,combined score,weighted score,weighted rank
5,Des Moines,IA,50600,178942,857,60.3,41.4,35.7,2.4,147694,72170,22,41.5725,-93.6105,"$6,832.93 ",9%,10284,14%,12%,11.50,17,22,16.50,1
4,Fayetteville,AR,45830,177942,778,68,45,33.9,2.7,221546,54929,19,36.0713,-94.166,"$10,249.62 ",19%,9336,17%,18%,18.00,71,75,22.00,2
12,Madison,WI,52190,247967,958,55.9,36.8,35.9,2.2,293514,100662,14,43.0827,-89.3923,"$13,579.15 ",13%,11496,11%,12%,12.00,37,49,24.00,3
11,Huntsville,AL,53600,167300,779,,,38.4,3.5,178465,58017,11,34.6988,-86.6412,"$8,256.52 ",14%,9348,16%,15%,15.00,47,58,26.00,4
2,Denver,CO,57400,393842,1203,64.6,36.2,36.3,3,488386,77402,181,39.7621,-104.876,"$22,594.73 ",29%,14436,19%,24%,24.00,94,96,26.00,5
3,Colorado Springs,CO,50050,286700,1070,62.1,35.7,34.4,3.7,321088,58686,7,38.8674,-104.761,"$14,854.84 ",25%,12840,22%,24%,23.50,87,90,26.50,6
1,Austin,TX,51840,291533,1155,79.7,54.8,34.2,2.9,404317,63924,86,30.3006,-97.7517,"$18,705.35 ",29%,13860,22%,26%,25.50,95,96,26.50,7
13,Grand Rapids,MI,44770,181533,826,57.9,40.2,35.7,3.1,177723,57225,11,42.9615,-85.6557,"$8,222.19 ",14%,9912,17%,16%,15.50,50,63,28.50,8
20,Charlotte,NC,50150,213983,935,70.9,48.7,37.3,3.6,254255,101284,73,35.2079,-80.8304,"$11,762.87 ",12%,11220,11%,12%,11.50,31,51,31.50,9
15,Nashville,TN,47110,248883,951,69.7,48.9,36.3,2.8,287500,67187,51,36.1715,-86.7843,"$13,300.92 ",20%,11412,17%,19%,18.50,73,88,33.50,10
8,Portland,OR,55330,375425,1118,63.1,45.6,37.8,3.8,464283,67880,41,45.5371,-122.65,"$21,479.63 ",32%,13416,20%,26%,26.00,98,106,34.00,11
22,Greenville,SC,43230,172067,787,70.3,50.5,38.5,3.3,203775,57444,10,34.8362,-82.3649,"$9,427.46 ",16%,9444,16%,16%,16.00,62,84,38.00,12
17,Boise,ID,43880,221475,879,63.5,41.2,35.8,2.6,331482,56828,16,43.6007,-116.231,"$15,335.71 ",27%,10548,19%,23%,23.00,90,107,40.00,13
9,Seattle,WA,63120,442333,1297,60.2,45,37.1,3.9,802912,81519,130,47.6211,-122.324,"$37,145.98 ",46%,15564,19%,33%,32.50,102,111,41.50,14
26,Phoenix,AZ,49500,234183,1032,86.6,63.4,36.2,4.1,271291,76096,103,33.5722,-112.089,"$12,551.03 ",16%,12384,16%,16%,16.00,61,87,42.00,15
18,Sarasota,FL,42680,237260,1089,81.7,64.1,51.6,3.3,289167,55593,8,27.3386,-82.543,"$13,378.05 ",24%,13068,24%,24%,24.00,86,104,42.00,16
30,Houston,TX,53820,223875,995,78.9,61.5,34,4.3,192681,73062,76,29.7869,-95.3905,"$8,914.21 ",12%,11940,16%,14%,14.00,32,62,44.00,17
24,Salt Lake City,UT,47272,324198,963,63.8,41.6,30.2,3,436115,75686,57,40.7774,-111.93,"$20,176.46 ",27%,11556,15%,21%,21.00,89,113,45.00,18
31,Winston-Salem,NC,44910,145725,732,69.7,49.4,40.4,3.7,153108,56460,17,36.1029,-80.261,"$7,083.40 ",13%,8784,16%,15%,14.50,38,69,45.50,19
25,Melbourne,FL,48240,198425,971,81.9,62.8,47.1,3.5,245384,56120,2,28.1085,-80.6627,"$11,352.46 ",20%,11652,21%,21%,20.50,76,101,45.50,20
34,San Antonio,TX,46200,211800,949,80.2,58.6,34.4,3.3,186009,83577,21,29.4658,-98.5254,"$8,605.54 ",10%,11388,14%,12%,12.00,22,56,46.00,21
