Name,State,Lat,Long,salary,positions
Austin,TX,30.2711286,-97.7436995,64344 ,86
Denver,CO,39.7348381,-104.9653271,75672 ,177
Colorado Springs,CO,38.8339578,-104.8253485,58686 ,7
Fayetteville,AR,36.0625843,-94.1574328,54929 ,15
Des Moines,IA,41.5910641,-93.6037149,72170 ,22
Minneapolis-St. Pau,MN,46.25024,-94.25055,67440 ,0
San Francisco,CA,45.4754429,-75.6989463,92498 ,198
Portland,OR,45.5202471,-122.6741949,70022 ,36
Seattle,WA,47.6038321,-122.3300624,81519 ,115
Raleigh Durham,NC,35.8803615,-78.7872382,63193 ,57
Huntsville,AL,33.554113,-86.804219,58017 ,11
Madison,WI,43.074761,-89.3837613,100662 ,16
Grand Rapids,MI,42.9142413,-85.533004,57225 ,12
San Jose,CA,37.3361905,-121.8905833,87059 ,179
Nashville,TN,36.1622296,-86.7743531,67187 ,52
Ashville,NC,33.8369216,-86.2549799,54747 ,3
Boise,ID,43.6166163,-116.200886,56828 ,17
Sarasota,FL,27.3364347,-82.5306527,55593 ,9
"Washington, DC",DC,38.8948932,-77.0365529,84426 ,548
Charlotte,NC,35.2271986,-80.843083,101284 ,70
Dallas-Fort Worth,TX,32.737242,-97.232572,45485 ,113
Greenville,SC,34.851354,-82.3984882,57444 ,10
Portland,ME,29.0654892,-110.9717051,50995 ,8
Salt Lake City,UT,40.7596198,-111.8867975,75686 ,54
Melbourne,FL,28.0836269,-80.6081089,56120 ,2
Phoenix,AZ,33.4484367,-112.0741417,75640 ,100
Boston,MA,42.3602534,-71.0582912,77840 ,231
Albandy,NY,43.00035,-75.4999,71294 ,0
Lexington-Fayette,KY,38.0464066,-84.4970393,54686 ,5
Houston,TX,29.7589382,-95.3676974,73584 ,77
Winston-Salem,NC,36.0998131,-80.2440518,56460 ,14
Omaha,NE,41.2587459,-95.9383758,54615 ,22
Reno,NV,39.5261206,-119.8126581,58653 ,4
San Antonio,TX,29.4246002,-98.4951405,83028 ,19
Fort Myers,FL,26.640628,-81.8723084,56593 ,2
San Diego,CA,32.7174209,-117.1627714,68102 ,77
Pensacola,FL,30.421309,-87.2169149,54166 ,6
Indianapolis,IN,39.7683331,-86.1583502,58981 ,34
Cincinnati,OH,39.1014537,-84.5124602,68062 ,48
Fort Wayne,IN,41.0799898,-85.1386015,40757 ,3
Lansing,MI,42.7338147,-84.5207088,70490 ,16
Jacksonville,FL,30.3321838,-81.655651,56689 ,13
Manchester,NH,42.9956397,-71.4547891,59341 ,17
Harrisburg,PA,40.2663107,-76.8861122,60988 ,18
